municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
314930;PEDRO LEOPOLDO;2018-08-04;8;2018;19º RISP - Sete Lagoas;2) RMBH (sem BH);CONSUMADO;1
310530;BANDEIRA DO SUL;2018-08-05;8;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;1
310060;AGUA BOA;2018-08-06;8;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
315780;SANTA LUZIA;2018-08-06;8;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
312770;GOVERNADOR VALADARES;2018-08-06;8;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
315150;PIUMHI;2018-08-07;8;2018;18º RISP - Poços de Caldas;3) Interior de MG;CONSUMADO;1
313630;JOAO PINHEIRO;2018-08-08;8;2018;16º RISP - Unaí;3) Interior de MG;TENTADO;1
314430;NANUQUE;2018-08-08;8;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
311860;CONTAGEM;2018-08-09;8;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
314015;MARIO CAMPOS;2018-08-11;8;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;2
310620;BELO HORIZONTE;2018-08-12;8;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
314460;NEPOMUCENO;2018-08-12;8;2018;6º RISP - Lavras;3) Interior de MG;TENTADO;1
315990;SANTO ANTONIO DO AMPARO;2018-08-16;8;2018;6º RISP - Lavras;3) Interior de MG;TENTADO;1
316970;TURMALINA;2018-08-18;8;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
313770;LAJINHA;2018-08-19;8;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-08-19;8;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
311860;CONTAGEM;2018-08-19;8;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
310940;BURITIZEIRO;2018-08-20;8;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
312230;DIVINOPOLIS;2018-08-20;8;2018;7º RISP - Divinópolis;3) Interior de MG;CONSUMADO;1
315250;POUSO ALEGRE;2018-08-22;8;2018;17º RISP - Pouso Alegre;3) Interior de MG;CONSUMADO;1
316760;SIMONESIA;2018-08-23;8;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2018-08-23;8;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-08-24;8;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;2
317020;UBERLANDIA;2018-08-24;8;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;1
310470;ATALEIA;2018-08-25;8;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
311860;CONTAGEM;2018-08-25;8;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
314860;PECANHA;2018-08-25;8;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;2
315680;SABINOPOLIS;2018-08-25;8;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
312410;ESMERALDAS;2018-08-26;8;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
314330;MONTES CLAROS;2018-08-27;8;2018;11º RISP - Montes Claros;3) Interior de MG;CONSUMADO;1
311320;CARANDAI;2018-08-28;8;2018;13º RISP - Barbacena;3) Interior de MG;TENTADO;1
313470;JACINTO;2018-09-01;9;2018;15º RISP - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
316840;TARUMIRIM;2018-09-02;9;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
314520;NOVA SERRANA;2018-09-02;9;2018;7º RISP - Divinópolis;3) Interior de MG;CONSUMADO;1
317070;VARGINHA;2018-09-03;9;2018;6º RISP - Lavras;3) Interior de MG;TENTADO;1
